"Bucket","File","Status","Copyrights","License","Notes"
"drivers","src/drivers/Qt/ConsoleRecording.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleTranslation.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleTranslation.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleVideo.cpp","New","* Copyright (C) 2020 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/ConsoleVideo.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleVideoSetup.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ConsoleWindowContext.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/fceu_archive.cpp","New","* Copyright (C) 2002 Xodnizel","GPLv2+",""
"drivers","src/drivers/Qt/fceu_callbacks.cpp","New","","GPLv2+",""
"drivers","src/drivers/Qt/fceu_globals.cpp","New","* Copyright (C) 2002 Xodnizel","GPLv2+",""
"drivers","src/drivers/Qt/input/input_backend.h","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/input_device.h","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/input_manager.cpp","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/input_manager.h","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/sdl_backend.cpp","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/sdl_backend.h","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/wgi_backend.cpp","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/wgi_backend.h","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/xinput_backend.cpp","New","","GPLv2+",""
"drivers","src/drivers/Qt/input/xinput_backend.h","New","","GPLv2+",""
"drivers","src/drivers/Qt/MenuCatalog.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerContext.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerContext.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerPalette.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerPalette.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerPatternTables.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerPatternTables.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerSpriteViewer.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerSpriteViewer.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerTileEditor.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/ppuViewerTileEditor.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/QtNetplay.cpp","New","* Copyright (C) 2002 Xodnizel","GPLv2+",""
"drivers","src/drivers/Qt/TasEditor/bookmarkPreviewPopup.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/bookmarkPreviewPopup.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/markerDragPopup.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/markerDragPopup.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/TasEditorContext.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/TasEditorTimeline.cpp","New","* Copyright (C) 2021 mjbudd77","GPLv2+",""
"drivers","src/drivers/Qt/TasEditor/TasEditorTimeline.h","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/TasFindNoteWindow.cpp","New","","Unknown/None",""
"drivers","src/drivers/Qt/TasEditor/TasFindNoteWindow.h","New","","Unknown/None",""
"platform","src/platform/win11/DirectStorageProbe.cpp","New","","Unknown/None",""
"platform","src/platform/win11/DirectStorageProbe.h","New","","Unknown/None",""
"platform","src/platform/win11/TaskbarProgress.cpp","New","","Unknown/None",""
"platform","src/platform/win11/TaskbarProgress.h","New","","GPLv2+",""
"root","src/apu.cpp","New","","GPLv2+",""
"root","src/apu.h","New","","GPLv2+",""
"root","src/bus.cpp","New","","GPLv2+",""
"root","src/bus.h","New","","GPLv2+",""
"root","src/cart_class.cpp","New","","GPLv2+",""
"root","src/cart_class.h","New","","GPLv2+",""
"root","src/compiler_attrs.h","New","","Unknown/None",""
"root","src/core_api.h","New","* Copyright (C) 2001 Aaron Oneal; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"root","src/core_state.cpp","New","","GPLv2+",""
"root","src/core_state.h","New","","GPLv2+",""
"root","src/cpu.cpp","New","","GPLv2+",""
"root","src/cpu.h","New","","GPLv2+",""
"root","src/diag_api.h","New","* Copyright (C) 2001 Aaron Oneal; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"root","src/driver_callbacks.cpp","New","","GPLv2+",""
"root","src/driver_callbacks.h","New","","GPLv2+",""
"root","src/expansion_audio.cpp","New","","GPLv2+",""
"root","src/expansion_audio.h","New","","GPLv2+",""
"root","src/fceu11_core_types.h","New","","GPLv2+",""
"root","src/fds_sound.cpp","New","","Unknown/None",""
"root","src/ines_bmap.h","New","","Unknown/None",""
"root","src/ines_gi.cpp","New","","Unknown/None",""
"root","src/ines_init.cpp","New","","GPLv2+",""
"root","src/ines_load.cpp","New","","GPLv2+",""
"root","src/ines_save.cpp","New","","Unknown/None",""
"root","src/io_api.h","New","* Copyright (C) 2001 Aaron Oneal; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"root","src/kagami_bridge.cpp","New","","GPLv2+",""
"root","src/kagami_bridge.h","New","","GPLv2+",""
"root","src/movie_fm2.cpp","New","* Copyright (C) 1998 BERO; * Copyright (C) 2003 Xodnizel","GPLv2+",""
"root","src/movie_fm2.h","New","","Unknown/None",""
"root","src/movie_io.cpp","New","","GPLv2+",""
"root","src/movie_playback.cpp","New","* Copyright (C) 1998 BERO; * Copyright (C) 2003 Xodnizel","GPLv2+",""
"root","src/movie_playback.h","New","","Unknown/None",""
"root","src/movie_record.cpp","New","* Copyright (C) 1998 BERO; * Copyright (C) 2003 Xodnizel","GPLv2+",""
"root","src/movie_record.h","New","","Unknown/None",""
"root","src/movie_settings.cpp","New","","Unknown/None",""
"root","src/movie_subtitles.cpp","New","","Unknown/None",""
"root","src/movie_taseditor_bridge.cpp","New","","Unknown/None",""
"root","src/net_api.h","New","* Copyright (C) 2001 Aaron Oneal; * Copyright (C) 2002 Xodnizel","GPLv2+",""
"root","src/nsf_load.cpp","New","","GPLv2+",""
"root","src/nsf_runtime.cpp","New","","GPLv2+",""
"root","src/nsf_ui.cpp","New","","GPLv2+",""
"root","src/ppu_class.cpp","New","","GPLv2+",""
"root","src/ppu_class.h","New","","GPLv2+",""
"root","src/ppu_core.cpp","New","* Copyright (C) 1998 BERO; * Copyright (C) 2003 Xodnizel","GPLv2+",""
"root","src/ppu_core.h","New","","Unknown/None",""
"root","src/ppu_rendering.cpp","New","* Copyright (C) 1998 BERO; * Copyright (C) 2003 Xodnizel","GPLv2+",""
"root","src/ppu_rendering.h","New","","Unknown/None",""
"root","src/ppu_sprite_lut.cpp","New","","Unknown/None",""
"root","src/ppu_sprite_lut.h","New","","Unknown/None",""
"root","src/ppu_state.cpp","New","* Copyright (C) 1998 BERO; * Copyright (C) 2003 Xodnizel","GPLv2+",""
"root","src/ppu_state.h","New","","Unknown/None",""
"root","src/pputile_template.cpp","New","","Unknown/None",""
"root","src/pputile_template.h","New","","Unknown/None",""
"root","src/unif_bmap.h","New","","Unknown/None",""
"root","src/unif_load.cpp","New","","GPLv2+",""
"rust","src/rust/build.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-core/src/bus.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-core/src/lib.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-core/src/sformat.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-core/src/state_file.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-core/src/state_recorder.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-core/src/traits.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-debug/src/asm.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-debug/src/cheat.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-debug/src/conddebug.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-debug/src/debug.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-debug/src/debugsym.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-debug/src/ld65dbg.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-debug/src/lib.rs","New","","Unknown/None",""
"rust","src/rust/crates/fceux11-formats/src/cart.rs","New","","GPLv2+",""
"rust","src/rust/crates/fceux11-formats/src/emufile.rs","New","","Unknown/None",""
